name,launchDate,audienceCum8,screen8,audienceCum14,screen14,nation,grade,groupGenre,favor,holiday,like,dislike,distCom,director,actor,actorPower8,actorPower14,directorPower8,directorPower14,distPower8,distPower14,launchDay,series,8hol,14hol
위플래쉬,2015-03-12,450749,436,952776,574,northA,15,Drama,2416,0,3127,711,(주)쇼박스,다미엔 차젤레,"마일즈 텔러,J.K. 시몬스",1154172.9167,1836722.75,622464,1205386,1813712.1579,2780266.9474,Thu,0,2,4
채피,2015-03-12,450055,536,559078,536,northA,15,Action/Criminal,2392,0,2671,279,유니버설픽쳐스인터내셔널 코리아(유),닐 블롬캠프,"휴 잭맨,샬토 코플리,시고니 위버,데브 파텔",2076363.5,2788140.75,450055,559078,708672.65854,965092.63415,Thu,0,2,4
런 올 나이트,2015-03-19,235610,411,286202,411,northA,19,Action/Criminal,1000,0,1118,118,워너브러더스 코리아(주),자움 콜렛 세라,"리암 니슨,조엘 킨나만,에드 해리스,커먼,제네시스 로드리게스",2363076,3118875.75,262555.5,330266,898054.19231,1389867.7308,Thu,0,2,4
신데렐라,2015-03-19,433655,531,611808,531,northA,All,Melo/Romance,4029,0,4666,637,월트디즈니컴퍼니코리아(주),케네스 브래너,"릴리 제임스,리처드 매든,케이트 블란쳇,헬레나 본햄 카터,홀리데이 그레인저,소피 맥쉐라",2398731.1667,3477042.6667,433655,611808,1425444.125,2503493.875,Thu,0,2,4
스물,2015-03-25,1475615,926,2322695,926,korea,15,Comedy,25292,0,27413,2121,(주)넥스트엔터테인먼트월드(NEW),이병헌,"김우빈,이준호,강하늘,정덕희,주창욱,권지훈,오하늬,오현경,이성두,정소민,안재홍,이유비,김의성,김종수,민지,황미영",12775926.8,19061210.867,1475615,2322695,856399.86207,1282562.7931,Wed,0,2,4
인서전트,2015-03-25,248923,480,279650,480,northA,15,SF/Fantasy/Adventure,2920,0,3194,274,롯데쇼핑㈜롯데엔터테인먼트,로베르트 슈벤트케,"쉐일린 우들리,테오 제임스,케이트 윈슬렛,나오미 왓츠,매기 큐,안셀 엘고트,마일즈 텔러,대니얼 대 킴",1242304,1525437.8333,173773,190651.5,761607.21053,990233.84211,Wed,0,2,4
분노의 질주: 더 세븐,2015-04-01,1464107,983,2268341,983,northA,15,Action/Criminal,6911,0,7601,690,유니버설픽쳐스인터내셔널 코리아(유),제임스 완,"빈 디젤,폴 워커,드웨인 존슨,제이슨 스타뎀",5172152.2,7666755.9,1145721.5,1835221.5,708672.65854,965092.63415,Wed,1,2,4
장수상회,2015-04-09,535667,688,897033,688,korea,12,Melo/Romance,14464,0,15600,1136,씨제이이앤엠(주),강제규,"박해빛나,박근형,윤여정,조진웅,한지민,황우슬혜,문가영,찬열,장문규,이준혁,윤소희,백일섭,박소연,이제욱,강석민,박지혜,정해인,최대영,최승훈,송동규,유원준,유원준,윤상훈,윤여정,이강희,임하룡,홍성일,이보영,이상수,이수지,이언정,김재화,남문철",6492027.8333,10323742.633,535667,897033,965818.5,1527981.32,Thu,0,2,4
화장,2015-04-09,103119,327,134474,327,korea,19,Drama,2189,0,3583,1394,(주)리틀빅픽쳐스,임권택,"안성기,김규리,김호정,박혜미,윤종호,이소정,이은경,안석환,연우진,김병춘,주현",768606,927316.5,103119,134474,240664.11111,301766.11111,Thu,0,2,4
더 건맨,2015-04-16,104155,349,107275,349,europe,19,Action/Criminal,259,0,308,49,롯데쇼핑㈜롯데엔터테인먼트,피에르 모렐,"숀 펜,하비에르 바르뎀,이드리스 엘바,레이 윈스톤,마크 라이런스",1913906,3467802.8333,104155,107275,761607.21053,990233.84211,Thu,0,2,4
